pi,time
3.13843,39.054
3.13347,40.0366threads,max_n,time
1,10000000,374.428
2,10000000,585.534
3,10000000,661.239
4,10000000,673.461
5,10000000,678.344
6,10000000,683.587
7,10000000,708.514
8,10000000,700.112
9,10000000,729.381
10,10000000,727.254
11,10000000,746.513

3.14443,39.7016
3.13491,39.8782
3.13631,40.383
3.14317,40.1747
3.13692,40.1305
3.138,40.0442
3.13977,40.0889
3.1345,40.0042
3.14083,40.5747
3.13847,40.34
3.13977,40.0655
3.14627,40.6343
3.13787,41.1508
3.14221,40.9996
3.14951,40.5384
3.1447,40.7847
3.14343,40.7861
3.1382,40.579
3.13988,41.1002
3.13714,41.8103
3.14284,41.6069
3.14288,41.3206
3.14114,41.6696
3.14224,41.7255
3.12983,42.0337
3.14396,41.4878
3.13227,42.0318
3.13619,41.9133
3.13691,42.0472
3.14926,42.1654
3.13769,41.7667
3.14226,42.251
3.13241,42.0796
3.1471,42.2514
3.15044,42.513
3.14049,42.4978
3.14524,42.0955
3.14713,42.7217
3.14829,42.7583
3.14019,42.9607
3.14597,42.5542
3.14237,43.3712
3.14904,43.3886
3.14322,42.7747
3.13835,43.0061
3.13669,43.5705
3.15481,42.9381
3.13517,43.411
3.14929,43.6122
3.14198,43.0657
3.13963,43.8168
3.14519,43.4272
3.13707,43.4471
3.13913,43.8242
3.14338,44.2842
3.14192,44.6187
3.14579,43.5105
3.14195,44.1256
3.13646,44.1652
3.13471,44.3696
3.13006,45.0681
3.14383,44.2939
3.14655,44.7309
3.14456,44.4602
3.14893,44.1363
3.14594,44.9715
3.13973,45.3684
3.14348,44.5104
3.13218,45.0822
3.13371,45.2587
3.14338,45.1608
3.13054,45.496
3.14245,45.1693
3.13998,45.2453
3.133,45.5768
3.14091,45.3196
3.13671,46.0078
3.13469,46.1029
3.1384,46.2371
3.14331,46.1208
3.14043,46.1106
3.14288,45.7019
3.14353,46.2441
3.13659,46.2594
3.13519,46.2348
3.14059,46.2754
3.1369,46.7492
3.14094,47.1957
3.13907,46.7095
3.14388,46.5158
3.14445,46.875
3.14276,46.593
3.14227,46.7413
3.13776,46.6681
3.14034,47.5247
3.13569,47.0103
3.141,46.5354
3.15164,46.884
3.14383,47.376
3.14572,47.6816
3.13439,47.6898
3.14312,47.2156
3.14323,46.9332
3.14063,47.7293
3.14125,47.8068
3.13958,47.9717
3.14312,47.6901
3.1442,48.6167
3.14233,48.3523
3.14614,47.9095
3.13949,48.0708
3.13787,48.355
3.13118,48.3155
3.14111,48.1497
3.13874,48.0579
3.13721,48.7253
3.13106,49.0674
3.14419,48.8244
3.14112,49.0393
3.15049,48.6292
3.13759,49.1261
3.1293,49.4498
3.14239,48.8153
3.14626,48.7203
3.13948,49.1635
3.13996,49.3501
3.1471,49.0498
3.14034,49.6749
3.13721,49.1506
3.14418,49.6935
3.1368,50.0588
3.14198,49.9838
3.14363,49.8636
3.14045,49.7609
3.13634,49.9749
3.13235,49.8661
3.13816,49.7298
3.14111,49.9561
3.14562,50.0774
3.14163,50.2919
3.13818,49.8175
3.13555,50.2258
3.13835,50.8108
3.1462,51.0541
3.14594,50.8933
3.14089,50.3781
3.14213,50.6151
3.13655,50.7269
3.13286,50.9654
3.13357,51.3875
3.13382,51.4828
3.13916,52.7671
3.14244,52.8926
3.14504,52.4992
3.13234,52.7511
3.13624,52.6996
3.13475,52.7568
3.1363,52.7019
3.13984,53.0559
3.13901,53.0916
